编号	普通话	方言	发音	注释
0001	太阳	日头	ni44lau21 	～下山了
0002	月亮	月	ŋuk2 	～出来了
0003	星星	天星	tiŋ44neiŋ331 	
0004	云	云	houŋ21 	
0005	风	风	houŋ331 	
0006	台风	风颱	huŋ44nai331 	
0007	闪电	雷泄	lai21siak5 	名词
0008	雷	雷	lai21 	
0009	雨	雨	hu23 	
0010	下雨	做雨	zor55u23 	
0011	淋	沃	uk5 	衣服被雨～湿了
0012	晒	曝	puk2 	～粮食
0013	雪	雪	suk5 	
0014	冰	冰	beiŋ331 	
0015	冰雹	龙雹	luŋ21mork2 	
0016	霜	霜	soruŋ331 	
0017	雾	雾	muo23 	
0018	露	露	lou35 	
0019	虹	虹	gouŋ23 	统称
0020	日食	日蚀	nik2sek5 	
0021	月食	月蚀	ŋuk2sek5 	
0022	天气	天气	tiŋ44 kei35 	
0023	晴	好天	hor55leiŋ44 	天～
0024	阴	阴	aeiŋ331 	天～
0025	旱	旱	aŋ23 	天～
0026	涝	涝	lor21 	天～
0027	天亮	天光	tiŋ44guŋ331 	
0028	水田	塍	caeiŋ21 	
0029	旱地	园	huŋ21 	浇不上水的耕地
0030	田埂	塍墘	caeiŋ21niŋ21 	
0031	路	山墿	saŋ44nu23 	野外的
0032	山	山	saŋ331 	
0033	山谷	山垅	saŋ23lœuŋ331 	
0034	江	江	gœuŋ331 	大的河
0035	溪	溪	kae331 	小的河
0036	水沟儿	水沟	zi55gau331 	较小的水道
0037	湖	湖	ou21 	
0038	池塘	池	di21 	
0039	水坑儿	水窠	zi55gau5 	地面上有积水的小洼儿
0040	洪水	大水	do44i41 	
0041	淹	淹	eiŋ331 	被水～了
0042	河岸	外岸	ŋe44aŋ35 	
0043	坝	坝头	bui55dau21 	拦河修筑拦水的
0044	地震	地牛转势	di44ŋou21duŋ55ni35 	
0045	窟窿	窟窿	kœ23lœuŋ331 	
0046	缝儿	缝	pouŋ35 	统称
0047	石头	石头母 岩头母	ci44lau21mor41 ŋe21lau21mor41 	统称 统称
0048	土	涂	tou21 	统称
0049	泥	泥	nae21 	湿的
0050	水泥	洋灰	yioŋ21ŋui331 	旧称
0051	沙子	沙	so331 	
0052	砖	砖	zuŋ331 	整块的
0053	瓦	栋瓦	dœuŋ55wo23 	整块的
0054	煤	煤	mui21 	
0055	煤油	洋油	yioŋ21yeu21 	
0056	炭	硬炭 曝炭	ŋœuŋ44naŋ35 pu44daŋ35 	木炭 木炭
0057	灰	火灰	hui55ou331 	烧成的
0058	灰尘	烟雾	iŋ44mou23 	桌面上的
0059	火	火	hui41 	
0060	烟	烟	eiŋ331 	烧火形成的
0061	失火	火烧厝	hui55liu44ʒu35 	
0062	水	水	zi41 	
0063	凉水	凊水	ciŋ55ŋi51 	
0064	热水	汤	toruŋ331 	如洗脸的热水，不是指喝的开水
0065	开水	沸汤 滚汤	bui55doruŋ331 guŋ55noruŋ331 	喝的 喝的
0066	磁铁	磁铁	zu21lik5 	
0067	时候	时候	si21aeu23 	吃饭的～
0068	什么时候	乜乇时候	mi44nor55si21aeu23 	
0069	现在	只落	zei55lork2 	
0070	以前	快时候	kae35si21aeu23 	十年～
0071	以后	尾候	mui55au23 	十年～
0072	一辈子	蜀世侬	si44si35nœŋ21 	
0073	今年	今年冥	giŋ23niŋ44maŋ21 	
0074	明年	明年冥	maŋ21niŋ21maŋ21 	
0075	后年	后年冥	au23niŋ21maŋ21 	
0076	去年	去年冥	kø35niŋ21maŋ21 	
0077	前年	前年冥	saeiŋ21niŋ21maŋ21 	
0078	往年	闲＝#1年	aeiŋ21na44ŋiŋ213 	过去的年份
0079	年初	年头	niŋ21tau21 	
0080	年底	年兜	niŋ21nau331 	
0081	今天	今早	giŋ55na51 	
0082	明天	明早	maŋ55na51 	
0083	后天	后日	au23nek2 	
0084	大后天	大后日	do44au23nek2 	
0085	昨天	前晡	saŋ21mu331 	
0086	前天	前日	saeiŋ21nek2 	
0087	大前天	大前日	do23saeiŋ21nek2 	
